,Songs,Artist,id,external_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
851,Fly Me To The Moon,Frank Sinatra,2dR5WkrpwylTuT3jRWNufa,https://open.spotify.com/track/2dR5WkrpwylTuT3jRWNufa,0.67,0.365,0,-10.158,1,0.0564,0.525,0.0,0.0575,0.45,119.344,audio_features,spotify:track:2dR5WkrpwylTuT3jRWNufa,https://api.spotify.com/v1/tracks/2dR5WkrpwylTuT3jRWNufa,https://api.spotify.com/v1/audio-analysis/2dR5WkrpwylTuT3jRWNufa,147147,4
852,Brothers in Arms,Dire Straits,26tWBbtjvgi0tipRL2VQ2X,https://open.spotify.com/track/26tWBbtjvgi0tipRL2VQ2X,0.22,0.44,8,-9.456,0,0.0352,0.503,0.862,0.12,0.13,79.095,audio_features,spotify:track:26tWBbtjvgi0tipRL2VQ2X,https://api.spotify.com/v1/tracks/26tWBbtjvgi0tipRL2VQ2X,https://api.spotify.com/v1/audio-analysis/26tWBbtjvgi0tipRL2VQ2X,419400,4
853,Brighter Days,JJ Grey & Mofro,6nylEPiO5P3Vut7qiUtpqG,https://open.spotify.com/track/6nylEPiO5P3Vut7qiUtpqG,0.55,0.561,10,-7.84,1,0.0385,0.108,2.12e-06,0.957,0.384,103.466,audio_features,spotify:track:6nylEPiO5P3Vut7qiUtpqG,https://api.spotify.com/v1/tracks/6nylEPiO5P3Vut7qiUtpqG,https://api.spotify.com/v1/audio-analysis/6nylEPiO5P3Vut7qiUtpqG,480893,4
854,Trying to Reason With Hurricane Season (with Jimmy Buffett),Kenny Chesney,6kw5rCgHgarcLUVQ3ObU7F,https://open.spotify.com/track/6kw5rCgHgarcLUVQ3ObU7F,0.738,0.503,2,-10.876,1,0.0309,0.613,1.16e-05,0.1,0.556,121.914,audio_features,spotify:track:6kw5rCgHgarcLUVQ3ObU7F,https://api.spotify.com/v1/tracks/6kw5rCgHgarcLUVQ3ObU7F,https://api.spotify.com/v1/audio-analysis/6kw5rCgHgarcLUVQ3ObU7F,249652,4
855,Never Been To Spain,Three Dog Night,4czsX9Yl9As2oC3pjRkARq,https://open.spotify.com/track/4czsX9Yl9As2oC3pjRkARq,0.498,0.531,9,-14.548,1,0.0321,0.23,0.00108,0.629,0.781,89.056,audio_features,spotify:track:4czsX9Yl9As2oC3pjRkARq,https://api.spotify.com/v1/tracks/4czsX9Yl9As2oC3pjRkARq,https://api.spotify.com/v1/audio-analysis/4czsX9Yl9As2oC3pjRkARq,221707,4
856,She Was No Good for Me (feat. Miranda Lambert),Willie Nelson,4pg7sUYLUwKLwWFzm9O2c3,https://open.spotify.com/track/4pg7sUYLUwKLwWFzm9O2c3,0.585,0.26,9,-11.163,1,0.0326,0.805,6.35e-05,0.115,0.333,112.448,audio_features,spotify:track:4pg7sUYLUwKLwWFzm9O2c3,https://api.spotify.com/v1/tracks/4pg7sUYLUwKLwWFzm9O2c3,https://api.spotify.com/v1/audio-analysis/4pg7sUYLUwKLwWFzm9O2c3,227053,3
857,Let's Live For Today,The Grass Roots,2IobDyMywYgrJAdLpRvqvT,https://open.spotify.com/track/2IobDyMywYgrJAdLpRvqvT,0.597,0.345,8,-12.462,0,0.0363,0.67,0.0,0.0465,0.54,115.373,audio_features,spotify:track:2IobDyMywYgrJAdLpRvqvT,https://api.spotify.com/v1/tracks/2IobDyMywYgrJAdLpRvqvT,https://api.spotify.com/v1/audio-analysis/2IobDyMywYgrJAdLpRvqvT,167400,4
858,Can't You Hear My Heartbeat,Herman's Hermits,2tUP1fuo8EdOVz3Bw9r7yu,https://open.spotify.com/track/2tUP1fuo8EdOVz3Bw9r7yu,0.581,0.63,9,-7.836,1,0.0334,0.0925,0.0,0.0648,0.91,136.994,audio_features,spotify:track:2tUP1fuo8EdOVz3Bw9r7yu,https://api.spotify.com/v1/tracks/2tUP1fuo8EdOVz3Bw9r7yu,https://api.spotify.com/v1/audio-analysis/2tUP1fuo8EdOVz3Bw9r7yu,134840,3
859,You Got It,Roy Orbison,6r20M5DWYdIoCDmDViBxuz,https://open.spotify.com/track/6r20M5DWYdIoCDmDViBxuz,0.649,0.618,9,-10.728,1,0.0265,0.596,1.46e-06,0.192,0.667,114.688,audio_features,spotify:track:6r20M5DWYdIoCDmDViBxuz,https://api.spotify.com/v1/tracks/6r20M5DWYdIoCDmDViBxuz,https://api.spotify.com/v1/audio-analysis/6r20M5DWYdIoCDmDViBxuz,210267,4
860,Ramblin' Man,Allman Brothers Band,5cfYurP1XKldMBtvBBJiTs,https://open.spotify.com/track/5cfYurP1XKldMBtvBBJiTs,0.349,0.692,1,-11.691,1,0.0338,0.462,0.00266,0.197,0.952,179.396,audio_features,spotify:track:5cfYurP1XKldMBtvBBJiTs,https://api.spotify.com/v1/tracks/5cfYurP1XKldMBtvBBJiTs,https://api.spotify.com/v1/audio-analysis/5cfYurP1XKldMBtvBBJiTs,288507,4
